schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2023-12-16T20:00:00Z,1h,coinbase-exchange:BTC-USD,42327.37,42384.74,42222,42300.14,179.81873235,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T21:00:00Z,1h,coinbase-exchange:BTC-USD,42299.48,42339.84,42206.07,42275,316.30142833,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T22:00:00Z,1h,coinbase-exchange:BTC-USD,42275,42305.02,42116.66,42271.04,254.125412,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T23:00:00Z,1h,coinbase-exchange:BTC-USD,42271.04,42310.83,42150.41,42237.29,205.52456106,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T00:00:00Z,1h,coinbase-exchange:BTC-USD,42235.23,42267.69,42110.01,42110.01,176.53231,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T01:00:00Z,1h,coinbase-exchange:BTC-USD,42110.01,42210.88,41836.11,41968.85,265.32733241,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T02:00:00Z,1h,coinbase-exchange:BTC-USD,41968.85,42107.89,41810.72,41831.58,243.76351587,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T03:00:00Z,1h,coinbase-exchange:BTC-USD,41831.58,41984.22,41824.16,41881.99,157.59104371,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T04:00:00Z,1h,coinbase-exchange:BTC-USD,41880.71,42023.41,41862.77,41959.26,161.52393707,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-17T05:00:00Z,1h,coinbase-exchange:BTC-USD,41960.18,42007.18,41741.83,41869.22,217.20093197,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
